clean_text,label,synthetic
1. من بدنه‌ی محکم رو انتظار داشتم، ولی خیلی زود خراب شد.,Negative,1
2. فکر می‌کردم کیفیتش بهتر از اینه، اما بعد از دو هفته به مشکل خورد.,Negative,1
3. بدنه‌اش محکم به نظر می‌رسه، اما در عمل اصلاً راضی‌کننده نبود.,Negative,1
1. قیمتش واقعا بالاست و کیفیتش اصلاً بهش نمی‌خوره.,Negative,1
2. ظاهرش قشنگه ولی بعد از یه مدت کار کردن، سرعتش پایین میاد.,Negative,1
3. صفحه نمایش خوبه ولی بعضی وقت‌ها نرم‌افزارش گیر می‌کنه.,Negative,1
کیفیت چاپ این پرینتر اصلاً راضی‌کننده نبود و به سرعتش هم نمیشه اعتماد کرد.,Negative,1
پرینتر بعد از چند هفته استفاده، کیفیتش افت کرد و مجبور شدم دوباره از دستگاه قبلیم استفاده کنم.,Negative,1
قیمتش خوب به نظر می‌رسه، ولی وقتی دیدم کیفیتش چه جوریه، پشیمون شدم.,Negative,1
کیفیت ساختش اصلاً به اندازه‌ای که فکر می‌کردم خوب نیست.,Negative,1
صداش خیلی بلنده و اصلاً دلپذیر نیست.,Negative,1
قابلیت حملش خوبه، ولی من توقع بیشتری ازش داشتم.,Negative,1
کیفیتش اصلاً اونطور که میگن نیست، متاسف شدم.,Negative,1
ظاهرش زیاد جالب نیست و اصلاً راضی نبودم.,Negative,1
بعد از یکی دو هفته استفاده، کاملاً خراب شد.,Negative,1
این تبلت خیلی زود داغ می‌کنه و عملکردش افت می‌کنه.,Negative,1
کیفیت ساختش اصلاً انتظار رو برآورده نمی‌کنه.,Negative,1
مدت زمان باتریش خیلی کوتاهه و اصلاً راضی نیستم.,Negative,1
کیفیت محصولاتش خوب نیست، تجربه‌ی بدی داشتم.,Negative,1
خریدن از این برند رو به کسی توصیه نمی‌کنم، واقعا ناامید شدم.,Negative,1
امیدوار بودم که بهتر باشه، ولی خیلی ضعیف بود.,Negative,1
1. منم منتظر بودم، ولی آخرش ساعت‌ها تاخیر داشت و هیچ کس جوابگو نبود.,Negative,1
2. وقتی که تاریخ تحویل رو مشخص می‌کنن، چرا بهش پایبند نیستند؟ خیلی ناامید شدم.,Negative,1
3. قبلاً تجربه‌های خوبی داشتم، ولی این بار واقعاً از خدماتشون ناراضی بودم.,Negative,1
صفحه نمایش واقعا اذیت‌کننده‌ست و به چشم فشار میاره، نمی‌دونم چطور کسی باهاش کار میکنه.,Negative,1
این لپ‌تاپ خیلی داغ می‌کنه و واقعا مزاحم کار کردن میشه، دائم نگرانم که آسیب ببینه.,Negative,1
کیبوردش هم به هیچ‌وجه راحت نیست و کلی مشکل پیدا کردم، به شدت ناامید شدم.,Negative,1
1. من از هدیونیت‌های چینی استفاده کردم، واقعاً جواب ندادن و نمی‌تونستم کیفیت خوبی بگیرم.,Negative,1
2. باندهایی که گرفتم هیچ فرقی با سیستم‌های ارزان‌تر نداشتن، اصلاً راضی نبودم.,Negative,1
3. تجربه من با پایونییر خیلی خوب نبود، انتظار بیشتری داشتم ولی کیفیت صدا عالی نبود.,Negative,1
